sample	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF1	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF2	SF34	SF35	SF36	SF37	SF3	SF4	SF5	SF6	SF7	SF8	SF9
PWY.5861._superpathway_of_demethylmenaquinol.8_biosynthesis_I	0.000304379	1.72E-06	0.00036865	0	8.35E-05	3.11E-05	4.98E-05	2.56E-05	4.08E-07	2.88E-05	3.09E-06	0.000122574	9.72E-05	0	0.000301201	1.28E-05	0.000191998	7.87E-05	0.000273117	0.000307986	1.85E-06	0.000200088	6.07E-05	0	0.000327579	2.13E-05	0.000239186	0	3.69E-06	1.04E-06	0.000299248
PWY.5862._superpathway_of_demethylmenaquinol.9_biosynthesis	0.000274469	0	0.000185962	1.25E-06	7.30E-05	3.11E-05	1.31E-05	1.49E-05	0	2.70E-05	2.73E-06	8.47E-05	0.000119871	0	0.0002983	1.28E-05	0.000124606	6.83E-05	0.000256954	0.000283742	0	4.75E-06	0	0	0.000298564	0	0.000203422	0	3.18E-06	0	0.000248625
PWY.5870._ubiquinol.8_biosynthesis_.late_decarboxylation.	0	0	1.87E-06	0	0	0	0	3.10E-07	0	2.97E-07	0	2.00E-06	0	0	0	0	0	6.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5873._ubiquinol.7_biosynthesis_.late_decarboxylation.	0	0	1.08E-06	0	0	0	0	0	0	3.27E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.5896._superpathway_of_menaquinol.10_biosynthesis	0.000277894	3.46E-07	0.000229462	4.35E-07	9.45E-05	3.36E-05	8.99E-06	2.08E-05	0	2.80E-05	0	0.000102396	8.47E-05	0	0.000292219	1.69E-05	0.000155248	6.21E-05	0.000263714	0.000269117	0	0	0	0	0.000280152	0	0.000225341	0	0	0	0.000256126
PWY.5897._superpathway_of_menaquinol.11_biosynthesis	0.000301661	9.37E-07	0.000385476	1.74E-06	0.000110637	3.47E-05	0.000176794	3.15E-05	5.06E-07	2.94E-05	4.06E-06	0.000143252	0.000141443	0	0.000294607	1.73E-05	0.000216826	9.19E-05	0.000279893	0.000287714	3.04E-06	0.000185479	0.000165327	0	0.000301596	3.20E-05	0.000252108	0	4.90E-06	2.91E-06	0.000292589
PWY.5898._superpathway_of_menaquinol.12_biosynthesis	0.000301661	9.37E-07	0.000385476	1.74E-06	0.000110637	3.47E-05	0.000176794	3.15E-05	5.06E-07	2.94E-05	4.06E-06	0.000143252	0.000141443	0	0.000294607	1.73E-05	0.000216826	9.19E-05	0.000279893	0.000287714	3.04E-06	0.000185479	0.000165327	0	0.000301596	3.20E-05	0.000252108	0	4.90E-06	2.91E-06	0.000292589
PWY.5899._superpathway_of_menaquinol.13_biosynthesis	0.000301661	9.37E-07	0.000385476	1.74E-06	0.000110637	3.47E-05	0.000176794	3.15E-05	5.06E-07	2.94E-05	4.06E-06	0.000143252	0.000141443	0	0.000294607	1.73E-05	0.000216826	9.19E-05	0.000279893	0.000287714	3.04E-06	0.000185479	0.000165327	0	0.000301596	3.20E-05	0.000252108	0	4.90E-06	2.91E-06	0.000292589
PWY.5910._superpathway_of_geranylgeranyldiphosphate_biosynthesis_I_.via_mevalonate.	7.69E-07	0	0	0	0	1.08E-06	5.92E-05	0	0	2.79E-06	0	1.15E-05	5.11E-06	0	0	0	3.26E-07	2.46E-06	0	2.27E-06	5.84E-06	6.64E-06	0.000160227	0	0	1.07E-05	2.59E-07	2.41E-06	1.12E-05	0	9.45E-06
PWY.5913._partial_TCA_cycle_.obligate_autotrophs.	0.000531352	2.84E-06	0.000547578	1.14E-06	5.64E-05	4.48E-05	7.66E-05	2.07E-05	7.80E-07	3.37E-05	4.14E-07	0.000210807	9.38E-05	0	0.000362037	3.80E-05	0.000264448	8.08E-05	0.000497128	0.000490569	2.00E-06	7.94E-05	0.000133226	1.21E-06	0.000516327	1.09E-05	0.000384305	4.07E-06	1.78E-05	1.71E-06	0.000493599
PWY.5918._superpathway_of_heme_b_biosynthesis_from_glutamate	0.000280582	0	0.00039642	1.81E-06	0.000123356	3.57E-05	0.000222909	1.68E-05	4.84E-07	2.81E-05	3.92E-07	0.000129192	5.88E-05	0	0.000309663	2.15E-05	0.000322093	9.51E-05	0.000250338	0.000238317	1.10E-06	0.00017225	5.73E-05	0	0.000249031	2.68E-05	0.000246951	2.55E-05	0.000127549	2.33E-06	0.00026239
PWY.5920._superpathway_of_heme_b_biosynthesis_from_glycine	0.000181491	0	0.000250829	7.56E-07	7.86E-05	1.90E-05	7.27E-05	6.67E-06	5.05E-07	2.66E-05	2.71E-07	9.31E-05	4.43E-05	0	0.000294409	9.90E-07	0.000230371	7.81E-05	0.00014939	0.000139053	6.84E-07	2.48E-05	1.26E-05	4.75E-07	0.000138602	4.71E-06	0.000174875	1.24E-06	7.05E-07	1.47E-06	0.000163638
PWY.5941._glycogen_degradation_II	0.000592329	2.78E-06	0.000853474	4.07E-06	0.000312415	5.50E-05	0.000440011	8.60E-05	1.46E-06	4.14E-05	4.18E-06	0.000271461	0.000215368	0	0.000533961	0.000131986	0.000399655	0.000154246	0.000508669	0.000470708	2.21E-05	8.93E-05	0.000613059	0	0.000486381	5.69E-05	0.000451306	4.60E-05	0.000239825	2.87E-06	0.000589891
PWY.5971._palmitate_biosynthesis_.type_II_fatty_acid_synthase.	0.000126051	0	0.00029382	0	0.000186004	6.86E-05	0.000282879	7.52E-05	8.55E-07	5.72E-05	0	0.00019612	0.000193493	0	0.000307809	1.48E-05	0.000305285	0.000129669	0.000141014	0.000353675	1.05E-05	0.00014297	0.000434446	1.62E-06	0.000386996	3.60E-05	0.000350635	0	1.87E-05	3.58E-06	0.000244474
PWY.5972._stearate_biosynthesis_I_.animals.	0	1.92E-06	0	2.01E-06	8.66E-06	1.45E-06	3.13E-07	2.33E-06	2.19E-06	2.71E-06	3.17E-06	1.62E-06	2.52E-06	3.35E-06	7.72E-07	1.33E-06	0	9.14E-07	8.71E-07	0	9.84E-07	1.35E-06	1.80E-07	2.63E-06	0	3.57E-06	3.22E-07	1.75E-06	0	1.32E-06	7.47E-08
PWY.5973._cis.vaccenate_biosynthesis	0.000308595	7.98E-07	0.00022698	3.41E-06	0.000310613	5.38E-05	0.000424669	0.000113553	4.98E-07	5.04E-05	1.92E-05	0.000161581	0.000286162	0	0.000468755	1.13E-05	0.000258436	0.000127986	0.000352237	0.000311964	9.81E-06	0.00033852	0.000623422	1.12E-06	0.00032927	7.72E-05	0.000281016	9.09E-05	0.000497364	5.53E-06	0.000266597
PWY.5981._CDP.diacylglycerol_biosynthesis_III	0.000148312	0	6.72E-05	1.25E-06	1.37E-05	3.45E-05	0.000353466	5.27E-06	0	2.35E-05	0	6.52E-05	3.32E-05	0	0.000128567	2.53E-06	8.60E-05	2.58E-05	0.000135064	0.000135515	1.14E-05	7.69E-06	0.000379942	0	0.000145677	2.52E-05	0.000109975	6.55E-07	2.93E-06	8.98E-07	0.000163136
PWY.5989._stearate_biosynthesis_II_.bacteria_and_plants.	0.000315774	7.63E-06	0.000266603	2.30E-06	0.000199928	5.45E-05	0.000200209	6.84E-05	6.09E-07	3.27E-05	1.41E-05	0.000161001	0.000173818	0	0.000402281	1.19E-05	0.000225484	0.000125634	0.000365751	0.000336736	5.76E-06	0.000317661	0.000158919	1.20E-06	0.000356819	2.57E-05	0.000296371	4.68E-06	1.60E-05	2.84E-06	0.00026672
PWY.5994._palmitate_biosynthesis_.type_I_fatty_acid_synthase.	0	0	0	0	3.53E-06	0	4.99E-07	0	0	1.14E-07	0	0	0	0	0	0	2.20E-06	3.80E-06	1.80E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6071._superpathway_of_phenylethylamine_degradation	7.88E-08	0	0	0	0	0	0	1.28E-06	0	0	0	2.44E-05	8.41E-06	0	0	1.54E-06	2.42E-07	0	0	1.00E-05	0	0	0	0	1.05E-05	0	2.90E-05	0	0	0	0
PWY.6113._superpathway_of_mycolate_biosynthesis	0	0	0	0	1.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	8.71E-06	3.76E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6121._5.aminoimidazole_ribonucleotide_biosynthesis_I	0.000337202	8.53E-06	0.000502855	8.44E-06	0.000480003	4.87E-05	0.00065441	0.000121514	1.18E-06	3.03E-05	1.72E-05	0.000215819	0.000287232	0	0.000278107	6.47E-05	0.000465739	0.000202078	0.000354517	0.00035516	2.29E-05	0.00026206	0.000696734	8.10E-07	0.000369356	9.06E-05	0.000318426	9.59E-05	0.000512471	5.20E-06	0.00032863
PWY.6122._5.aminoimidazole_ribonucleotide_biosynthesis_II	0.000335982	8.56E-06	0.000579065	8.27E-06	0.00046166	4.98E-05	0.000639593	0.000132291	1.31E-06	3.22E-05	1.61E-05	0.000220715	0.000282562	0	0.000280132	6.76E-05	0.000471585	0.000202325	0.000358231	0.000359713	2.49E-05	0.000273595	0.000694582	1.19E-06	0.000373927	8.57E-05	0.000332158	9.34E-05	0.000493414	5.67E-06	0.000330979
PWY.6123._inosine.5..phosphate_biosynthesis_I	0.000211932	8.17E-06	0.000289905	7.55E-06	0.000493884	4.07E-05	0.000679258	0.000101474	7.77E-07	3.28E-05	1.82E-05	0.000170937	0.000312028	0	0.00027285	7.18E-05	0.000378873	0.000167001	0.000242464	0.000238651	2.19E-05	0.000252892	0.000740452	1.12E-06	0.000251872	9.55E-05	0.000240654	0.00011197	0.000604754	4.74E-06	0.000219594
PWY.6124._inosine.5..phosphate_biosynthesis_II	0.000178816	8.21E-06	0.000219146	8.05E-06	0.000482374	3.96E-05	0.000671509	9.59E-05	3.22E-07	2.88E-05	1.83E-05	0.000163246	0.000306897	0	0.000255481	7.16E-05	0.000384644	0.000163424	0.000169061	0.000144655	2.05E-05	0.000268209	0.000748988	1.36E-06	0.000147327	9.44E-05	0.000182274	0.000105584	0.000572018	4.62E-06	0.00018764
PWY.6125._superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	0.000253406	9.12E-06	0.000279761	7.89E-06	0.000270338	5.21E-05	0.000600684	7.37E-05	2.00E-06	3.75E-05	1.59E-05	0.000187734	0.00036128	0	0.000316685	8.14E-05	0.000193092	0.00013261	0.00030545	0.00027949	1.44E-05	0.000240753	0.00058759	1.32E-06	0.000280874	9.38E-05	0.000243372	4.03E-05	0.000217436	4.99E-06	0.000284975
PWY.6126._superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	0.000228224	9.91E-06	0.000177857	8.22E-06	0.00033701	4.89E-05	0.000679339	9.14E-05	1.27E-06	3.99E-05	1.88E-05	0.00020647	0.000343251	0	0.000326781	9.39E-05	0.000247772	0.00015516	0.000269588	0.000259875	1.80E-05	0.000276856	0.00069348	2.26E-06	0.000253057	0.000107641	0.000255782	5.38E-05	0.000290772	5.57E-06	0.000262204
PWY.6138._CMP.N.acetylneuraminate_biosynthesis_I_.eukaryotes.	0	1.14E-07	0	0	0	8.04E-08	0	6.53E-07	0	6.82E-08	1.93E-07	0	0	0	0	0	0	3.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6143._CMP.pseudaminate_biosynthesis	0	0	0	0	1.61E-06	0	0	0	0	0	0	1.07E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6147._6.hydroxymethyl.dihydropterin_diphosphate_biosynthesis_I	0.000267762	7.47E-06	0.000139853	5.15E-06	0.000396338	5.69E-06	0.000346322	8.65E-05	8.38E-07	3.42E-05	6.13E-06	0.000138181	0.000293798	0	0.0002894	2.16E-05	0.000150559	0.000112987	0.000257749	0.000207421	9.91E-06	0.000159071	0.000343151	8.34E-07	0.000219386	6.20E-05	0.000198999	8.88E-05	0.000517363	3.48E-06	0.00025005
PWY.6148._tetrahydromethanopterin_biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6151._S.adenosyl.L.methionine_salvage_I	0.000308115	1.02E-05	0.000391532	4.80E-06	0.000338624	4.10E-05	0.000567424	0.000103794	1.02E-06	3.37E-05	9.02E-06	0.000214752	0.000279732	0	0.000297255	8.58E-05	0.000357798	0.000150612	0.000289226	0.000318149	2.25E-05	0.000215676	0.000567058	1.53E-06	0.000314231	6.75E-05	0.000269671	7.80E-05	0.000436485	3.49E-06	0.000321701
PWY.6160._3.dehydroquinate_biosynthesis_II_.archaea.	0	0	0	0	1.84E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6163._chorismate_biosynthesis_from_3.dehydroquinate	0.000468395	8.40E-06	0.000297765	5.99E-06	0.000552191	4.80E-05	0.000620058	0.000124798	1.41E-06	3.37E-05	2.00E-05	0.000195964	0.000330809	0	0.000308742	8.95E-05	0.000359985	0.000177357	0.000466147	0.000431237	1.53E-05	0.000246539	0.000642926	0	0.000450836	9.06E-05	0.000321475	9.26E-05	0.000502201	4.82E-06	0.000478937
PWY.6165._chorismate_biosynthesis_II_.archaea.	0	0	0	0	4.87E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6167._flavin_biosynthesis_II_.archaea.	0	0	0	0	5.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6168._flavin_biosynthesis_III_.fungi.	7.15E-06	0	0.000164894	0	0.000303242	0	1.60E-05	3.36E-05	0	4.51E-06	5.53E-06	0.000117281	0.000186019	0	0	3.85E-05	0.000228497	0.000111311	6.78E-05	0.000102196	0	5.74E-06	0	0	0.000110823	2.40E-05	0.000152324	3.96E-06	4.19E-06	3.50E-06	0
PWY.6182._superpathway_of_salicylate_degradation	0.00018006	0	0	0	0	4.76E-07	1.55E-06	0	0	0	0	1.56E-05	1.06E-05	0	3.83E-05	0	7.41E-06	1.89E-06	0.00018466	0.000167222	0	2.79E-07	0	0	0.000176714	1.01E-06	7.58E-05	0	0	0	0.000133166
PWY.6185._4.methylcatechol_degradation_.ortho_cleavage.	0.00018669	0	0	0	0	1.43E-06	2.15E-06	0	0	0	0	1.56E-05	9.96E-06	0	6.85E-05	0	7.82E-06	1.89E-06	0.000191216	0.000168424	0	2.90E-07	0	0	0.000178107	1.27E-06	7.42E-05	0	0	0	0.000134303
PWY.6210._2.aminophenol_degradation	0.000108036	0	0	0	0	8.01E-08	0	1.41E-07	0	0	0	6.94E-08	0	0	1.01E-07	0	5.29E-07	8.71E-07	1.16E-05	9.38E-08	0	0	0	0	6.54E-08	0	2.20E-06	0	0	0	8.64E-05
PWY.6215._4.chlorobenzoate_degradation	1.05E-07	0	0	0	0	0	7.57E-08	2.09E-07	0	0	0	1.26E-05	5.20E-06	0	0	0	2.92E-06	1.18E-06	0	1.03E-05	0	4.17E-07	0	0	1.19E-05	0	1.62E-05	0	0	0	5.43E-07
PWY.621._sucrose_degradation_III_.sucrose_invertase.	0.000500593	9.78E-07	0.000444582	4.57E-06	7.83E-05	3.52E-06	0.000218261	3.72E-05	6.16E-07	1.95E-05	4.35E-06	0.00010979	0.000136135	0	0.000254479	5.92E-05	0.00018371	8.07E-05	0.000524427	0.000420915	1.07E-05	0.000168896	0.000288034	0	0.000424856	3.30E-05	0.00031244	4.66E-06	2.85E-05	1.20E-06	0.000541247
PWY.622._starch_biosynthesis	0	0	0	0	0	0	0	1.71E-06	0	0	0	1.77E-05	6.21E-06	0	2.65E-05	0	2.51E-05	1.01E-05	5.60E-05	3.57E-07	7.86E-06	0	0.000150506	0	0	5.90E-06	0	7.82E-06	3.82E-05	0	6.03E-07
PWY.6269._superpathway_of_adenosylcobalamin_salvage_from_cobinamide_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6270._isoprene_biosynthesis_I	0.000224028	3.85E-06	0.000142696	6.44E-06	0.000375553	3.95E-05	0.000334053	8.02E-05	1.51E-06	2.81E-05	7.62E-06	0.000148454	0.000291224	0	0.000319645	7.15E-05	0.000302992	0.000155207	0.000239624	0.000212009	5.65E-06	0.00015661	0.000286952	0	0.000231134	5.06E-05	0.000193689	4.65E-05	0.00024898	4.71E-06	0.000226159
PWY.6277._superpathway_of_5.aminoimidazole_ribonucleotide_biosynthesis	0.000335982	8.56E-06	0.000579065	8.27E-06	0.00046166	4.98E-05	0.000639593	0.000132291	1.31E-06	3.22E-05	1.61E-05	0.000220715	0.000282562	0	0.000280132	6.76E-05	0.000471585	0.000202325	0.000358231	0.000359713	2.49E-05	0.000273595	0.000694582	1.19E-06	0.000373927	8.57E-05	0.000332158	9.34E-05	0.000493414	5.67E-06	0.000330979
PWY.6281._L.selenocysteine_biosynthesis_II_.archaea_and_eukaryotes.	0	2.09E-07	0	1.53E-07	0	5.35E-08	0	0	0	2.85E-07	2.59E-07	0	0	5.36E-07	0	6.68E-08	0	0	0	0	2.26E-07	0	0	0	0	3.81E-07	0	3.37E-07	0	1.32E-07	0
PWY.6282._palmitoleate_biosynthesis_I_.from_.5Z..dodec.5.enoate.	0.000361876	9.12E-06	0.000265399	2.31E-06	0.000191569	6.79E-05	0.00027893	6.94E-05	5.90E-07	5.57E-05	1.41E-05	0.000182873	0.000175979	0	0.000422546	1.24E-05	0.000304559	0.000133381	0.000401873	0.000377178	9.75E-06	0.000351484	0.000399814	1.28E-06	0.000398253	3.08E-05	0.000334617	4.70E-06	1.61E-05	2.92E-06	0.000312245
PWY.6284._superpathway_of_unsaturated_fatty_acids_biosynthesis_.E._coli.	8.97E-06	0	0.000222691	0	3.57E-05	5.61E-05	7.08E-05	2.62E-05	5.68E-07	4.19E-05	0	0.000126222	7.00E-05	0	4.29E-05	1.22E-05	0.000158716	4.94E-05	1.01E-05	9.02E-05	7.32E-06	1.14E-05	0.000186284	9.23E-07	0.000117177	1.11E-05	0.000184304	0	2.36E-06	1.75E-06	3.65E-05
PWY.6285._superpathway_of_fatty_acids_biosynthesis_.E._coli.	1.75E-05	0	0.000252685	0	6.22E-05	5.77E-05	0.000117686	3.99E-05	6.12E-07	4.70E-05	0	0.000152436	0.000104432	0	7.81E-05	1.39E-05	0.000211315	7.32E-05	1.97E-05	0.000146238	8.60E-06	2.22E-05	0.000268276	0	0.000181819	1.76E-05	0.000238725	0	4.37E-06	1.68E-06	6.56E-05
PWY.6292._superpathway_of_L.cysteine_biosynthesis_.mammalian.	0.000209329	0	0	0	2.96E-05	5.14E-07	5.05E-05	1.43E-05	0	3.90E-06	1.03E-06	2.58E-05	3.43E-05	0	1.78E-05	8.29E-07	1.59E-05	4.11E-06	0.000231212	0.000194245	4.83E-06	0.000176792	0.000139086	0	0.000199748	7.67E-06	0.000101711	3.54E-07	1.38E-06	4.16E-07	0.000208642
PWY.6293._superpathway_of_L.cysteine_biosynthesis_.fungi.	8.97E-07	0	0	0	2.01E-05	0	7.34E-07	8.50E-06	0	7.80E-07	0	3.41E-05	3.07E-05	0	0	3.53E-06	2.73E-05	8.73E-06	2.13E-05	5.20E-06	0	3.06E-06	6.02E-06	0	9.17E-07	2.59E-06	2.40E-05	0	0	1.56E-07	1.56E-05
PWY.6305._superpathway_of_putrescine_biosynthesis	0.000531075	2.58E-07	0.000504836	1.63E-06	7.39E-05	3.35E-05	1.30E-05	3.09E-05	1.15E-06	2.47E-05	7.07E-06	0.00019929	8.53E-05	1.07E-06	0.00034008	5.88E-05	0.00026925	8.46E-05	0.0005393	0.000357753	1.10E-06	0.000166073	2.13E-05	1.84E-06	0.000397038	1.35E-05	0.000389961	1.79E-06	1.33E-05	1.67E-06	0.00061535
PWY.6307._L.tryptophan_degradation_X_.mammalian._via_tryptamine.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88E-08	0	0	1.33E-07	0	0	0	0	0	0	0	0
PWY.6309._L.tryptophan_degradation_XI_.mammalian._via_kynurenine.	0	1.18E-07	0	1.27E-07	0	9.29E-08	0	8.66E-08	1.65E-07	1.70E-07	3.08E-07	8.54E-08	0	1.64E-06	0	1.04E-07	0	9.47E-08	0	0	2.21E-07	0	8.40E-07	7.23E-07	0	2.97E-07	0	1.08E-07	0	2.11E-07	0
PWY.6313._serotonin_degradation	0	0	0	0	0	0	0	0	0	0	3.27E-07	0	0	0	0	0	0	0	0	2.50E-08	0	0	1.78E-07	0	0	0	0	0	0	0	0
PWY.6317._D.galactose_degradation_I_.Leloir_pathway.	0.000219876	8.69E-06	0.000337817	4.40E-06	0.000131954	4.18E-05	0.000482333	6.18E-05	1.43E-06	2.98E-05	3.03E-06	0.000186801	0.000117638	0	0.000252829	8.73E-05	0.000330824	0.00016019	0.000295713	0.00027574	1.54E-05	0.000208481	0.00045666	5.59E-07	0.00028894	3.65E-05	0.000259005	3.69E-06	1.94E-05	1.89E-06	0.000205148
PWY.6318._L.phenylalanine_degradation_IV_.mammalian._via_side_chain.	1.51E-07	0	2.79E-05	0	0	7.39E-07	2.80E-07	3.20E-07	0	0	0	1.39E-05	9.55E-06	0	0	5.19E-07	8.65E-06	2.20E-06	0	5.33E-06	0	1.10E-07	0	0	6.58E-06	2.16E-07	2.28E-05	0	0	0	0
PWY.6328._L.lysine_degradation_X	2.55E-07	0	0	0	2.18E-05	0	6.04E-08	1.21E-06	0	0	0	1.13E-05	3.04E-06	0	0	0	3.39E-07	1.45E-06	8.37E-07	7.71E-06	0	0	0	0	8.12E-06	0	1.77E-05	0	0	0	0
PWY.6342._noradrenaline_and_adrenaline_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42E-08	0	0	0	0	0	0	0	0	0	0	0
PWY.6349._CDP.archaeol_biosynthesis	0	0	0	0	1.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6350._archaetidylinositol_biosynthesis	0	0	0	0	1.11E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6351._D.myo.inositol_.1.4.5..trisphosphate_biosynthesis	0	0	0	3.34E-07	0	1.47E-07	0	0	0	2.34E-07	4.77E-07	1.34E-07	0	1.56E-06	0	0	0	2.04E-07	0	0	3.98E-07	0	0	0	0	5.40E-07	0	0	0	0	0
PWY.6352._3.phosphoinositide_biosynthesis	0	0	0	9.07E-08	0	7.31E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6353._purine_nucleotides_degradation_II_.aerobic.	2.01E-05	1.04E-06	0.000492324	1.98E-06	0.000133746	3.51E-06	0.000110641	4.82E-05	1.17E-06	5.09E-06	5.31E-06	0.000191259	0.000134214	0	0.000644446	9.02E-05	0.00033141	0.000120658	3.74E-05	0.000220576	6.83E-07	1.98E-05	4.56E-06	0	0.000240825	2.23E-05	0.000337549	0	0	4.02E-06	6.40E-06
PWY.6358._superpathway_of_D.myo.inositol_.1.4.5..trisphosphate_metabolism	0	5.24E-07	0	3.42E-07	0	2.42E-07	0	0	2.82E-07	1.21E-07	3.98E-07	7.57E-08	0	3.04E-06	0	2.79E-07	0	1.69E-07	0	0	2.90E-07	0	0	1.37E-06	0	0	0	3.21E-07	0	0	0
PWY.6362._1D.myo.inositol_hexakisphosphate_biosynthesis_II_.mammalian.	0	3.48E-07	0	2.95E-07	0	0	0	0	3.16E-07	1.18E-07	2.60E-07	6.80E-08	0	2.89E-06	0	2.32E-07	0	1.98E-07	0	0	3.11E-07	0	0	1.24E-06	0	0	0	0	0	2.00E-07	0
PWY.6367._D.myo.inositol.5.phosphate_metabolism	0	0	0	0	0	0	0	0	0	0	4.05E-07	8.66E-08	0	1.98E-06	0	0	0	0	0	0	0	0	0	0	0	4.56E-07	0	0	0	0	0
PWY.6368._3.phosphoinositide_degradation	0	4.78E-07	0	2.35E-07	0	1.11E-07	0	0	1.99E-07	1.23E-07	3.81E-07	4.48E-08	0	2.02E-06	0	2.21E-07	0	1.18E-07	0	0	0	0	0	1.34E-06	0	0	0	3.60E-07	0	0	0
PWY.6372._1D.myo.inositol_hexakisphosphate_biosynthesis_IV_.Dictyostelium.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32E-07	0	0	0	0	0	0	0	0	0	0	0	1.79E-07	0
PWY.6385._peptidoglycan_biosynthesis_III_.mycobacteria.	0.000447925	7.94E-06	0.000451724	7.49E-06	0.000626173	5.10E-05	0.00064252	0.000138944	1.19E-06	3.67E-05	2.19E-05	0.0002645	0.00034214	0	0.000379244	9.84E-05	0.000492311	0.000214674	0.000398363	0.000383522	1.84E-05	0.000228517	0.000661466	0	0.000390354	8.88E-05	0.000351764	0.000114821	0.000635074	5.75E-06	0.000482107
PWY.6386._UDP.N.acetylmuramoyl.pentapeptide_biosynthesis_II_.lysine.containing.	0.000417014	7.43E-06	0.000395144	7.43E-06	0.000593162	4.60E-05	0.000636605	0.000140029	7.92E-07	3.55E-05	2.16E-05	0.000241833	0.000313688	0	0.000332274	9.72E-05	0.000447263	0.000201846	0.000355461	0.000352322	2.13E-05	0.000236721	0.000660643	0	0.00035771	8.88E-05	0.000313025	0.000115226	0.000628186	5.70E-06	0.000447592
PWY.6387._UDP.N.acetylmuramoyl.pentapeptide_biosynthesis_I_.meso.diaminopimelate_containing.	0.000425123	7.52E-06	0.000429621	7.11E-06	0.000602019	4.69E-05	0.000630463	0.00013971	1.08E-06	3.49E-05	2.22E-05	0.000250779	0.000328147	0	0.000337897	9.68E-05	0.000449639	0.000201184	0.000367135	0.000356792	2.06E-05	0.000230278	0.000648041	0	0.000361156	8.75E-05	0.000328478	0.000115533	0.000637788	5.61E-06	0.000455717
PWY.6396._superpathway_of_2.3.butanediol_biosynthesis	2.02E-06	0	0	0	0	0	1.08E-06	0	0	6.55E-07	0	4.69E-06	9.86E-06	0	0	0	0	2.98E-07	0	1.49E-06	0	1.34E-06	1.59E-06	0	0	0	5.29E-07	0	0	0	0
PWY.6421._arsenate_detoxification_IV_.mycothiol.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-06	0	0	0	0	0	0	0	0
PWY.6435._4.hydroxybenzoate_biosynthesis_III_.plants.	0	0	0	0	0	0	0	2.28E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY.6467._Kdo_transfer_to_lipid_IVA_III_.Chlamydia.	0	0	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-07	0	7.18E-06	0	0	0	0
PWY.6470._peptidoglycan_biosynthesis_V_..beta..lactam_resistance.	1.06E-06	0	0	0	5.40E-05	0	3.91E-06	5.17E-06	0	1.03E-05	0	1.01E-05	1.09E-05	0	0	0	0	0	0	7.45E-06	1.44E-06	0	8.86E-05	0	7.14E-07	3.29E-05	2.49E-06	0	2.09E-06	1.68E-06	0
PWY.6471._peptidoglycan_biosynthesis_IV_.Enterococcus_faecium.	0	0	0	0	0	0	0	0	0	0	0	1.09E-05	1.35E-06	0	0	0	0	0	0	8.07E-06	0	0	9.49E-07	0	7.74E-07	0	0	0	0	0	0
PWY.6478._GDP.D.glycero..alpha..D.manno.heptose_biosynthesis	0	0	0	1.00E-06	4.86E-05	0	3.37E-07	1.51E-06	0	1.31E-06	0	9.50E-07	5.22E-05	0	0	0	2.39E-06	8.04E-06	2.93E-06	0	0	0	0	0	0	1.19E-06	0	3.03E-07	2.44E-06	6.33E-07	0
